Season,Team,W,L,win_pct,,,,,,,,,,,,,,,,,,
2019-20,Milwaukee Bucks,53.00,12.00,0.815,,,,,,,,,,,,,,,,,,
2019-20,Toronto Raptors,46.00,18.00,0.719,,,,,,,,,,,,,,,,,,
2019-20,Boston Celtics,43.00,21.00,0.672,,,,,,,,,,,,,,,,,,
2019-20,Miami Heat,41.00,24.00,0.631,,,,,,,,,,,,,,,,,,
2019-20,Indiana Pacers,39.00,26.00,0.6,,,,,,,,,,,,,,,,,,
2019-20,Philadelphia 76ers,39.00,26.00,0.6,,,,,,,,,,,,,,,,,,
2019-20,Brooklyn Nets,30.00,34.00,0.469,,,,,,,,,,,,,,,,,,
2019-20,Orlando Magic,30.00,35.00,0.462,,,,,,,,,,,,,,,,,,
2019-20,Washington Wizards,24.00,40.00,0.375,,,,,,,,,,,,,,,,,,
2019-20,Charlotte Hornets,23.00,42.00,0.354,,,,,,,,,,,,,,,,,,
2019-20,Chicago Bulls,22.00,43.00,0.338,,,,,,,,,,,,,,,,,,
2019-20,New York Knicks,21.00,45.00,0.318,,,,,,,,,,,,,,,,,,
2019-20,Detroit Pistons,20.00,46.00,0.303,,,,,,,,,,,,,,,,,,
2019-20,Atlanta Hawks,20.00,47.00,0.299,,,,,,,,,,,,,,,,,,
2019-20,Cleveland Cavaliers,19.00,46.00,0.292,,,,,,,,,,,,,,,,,,
2019-20,Los Angeles Lakers,49.00,14.00,0.778,,,,,,,,,,,,,,,,,,
2019-20,Los Angeles Clippers,44.00,20.00,0.688,,,,,,,,,,,,,,,,,,
2019-20,Denver Nuggets,43.00,22.00,0.662,,,,,,,,,,,,,,,,,,
2019-20,Utah Jazz,41.00,23.00,0.641,,,,,,,,,,,,,,,,,,
2019-20,Oklahoma City Thunder,40.00,24.00,0.625,,,,,,,,,,,,,,,,,,
2019-20,Houston Rockets,40.00,24.00,0.625,,,,,,,,,,,,,,,,,,
2019-20,Dallas Mavericks,40.00,27.00,0.597,,,,,,,,,,,,,,,,,,
2019-20,Memphis Grizzlies,32.00,33.00,0.492,,,,,,,,,,,,,,,,,,
2019-20,Portland Trail Blazers,29.00,37.00,0.439,,,,,,,,,,,,,,,,,,
2019-20,New Orleans Pelicans,28.00,36.00,0.438,,,,,,,,,,,,,,,,,,
2019-20,Sacramento Kings,28.00,36.00,0.438,,,,,,,,,,,,,,,,,,
2019-20,San Antonio Spurs,27.00,36.00,0.429,,,,,,,,,,,,,,,,,,
2019-20,Phoenix Suns,26.00,39.00,0.4,,,,,,,,,,,,,,,,,,
2019-20,Minnesota Timberwolves,19.00,45.00,0.297,,,,,,,,,,,,,,,,,,
2019-20,Golden State Warriors,15.00,50.00,0.231,,,,,,,,,,,,,,,,,,
2018-19,Atlanta Hawks,29.00,53.00,0.354,,,,,,,,,,,,,,,,,,
2018-19,Boston Celtics,49.00,33.00,0.598,,,,,,,,,,,,,,,,,,
2018-19,Brooklyn Nets,42.00,40.00,0.512,,,,,,,,,,,,,,,,,,
2018-19,Charlotte Hornets,39.00,43.00,0.476,,,,,,,,,,,,,,,,,,
2018-19,Chicago Bulls,22.00,60.00,0.268,,,,,,,,,,,,,,,,,,
2018-19,Cleveland Cavaliers,19.00,63.00,0.232,,,,,,,,,,,,,,,,,,
2018-19,Detroit Pistons,41.00,41.00,0.5,,,,,,,,,,,,,,,,,,
2018-19,Indiana Pacers,48.00,34.00,0.585,,,,,,,,,,,,,,,,,,
2018-19,Miami Heat,39.00,43.00,0.476,,,,,,,,,,,,,,,,,,
2018-19,Milwaukee Bucks,60.00,22.00,0.732,,,,,,,,,,,,,,,,,,
2018-19,New York Knicks,17.00,65.00,0.207,,,,,,,,,,,,,,,,,,
2018-19,Orlando Magic,42.00,40.00,0.512,,,,,,,,,,,,,,,,,,
2018-19,Philadelphia 76ers,51.00,31.00,0.622,,,,,,,,,,,,,,,,,,
2018-19,Toronto Raptors,58.00,24.00,0.707,,,,,,,,,,,,,,,,,,
2018-19,Washington Wizards,32.00,50.00,0.39,,,,,,,,,,,,,,,,,,
2018-19,Golden State Warriors,57.00,25.00,0.695,,,,,,,,,,,,,,,,,,
2018-19,Denver Nuggets,54.00,28.00,0.659,,,,,,,,,,,,,,,,,,
2018-19,Portland Trail Blazers,53.00,29.00,0.646,,,,,,,,,,,,,,,,,,
2018-19,Houston Rockets,53.00,29.00,0.646,,,,,,,,,,,,,,,,,,
2018-19,Utah Jazz,50.00,32.00,0.61,,,,,,,,,,,,,,,,,,
2018-19,Oklahoma City Thunder,49.00,33.00,0.598,,,,,,,,,,,,,,,,,,
2018-19,San Antonio Spurs,48.00,34.00,0.585,,,,,,,,,,,,,,,,,,
2018-19,Los Angeles Clippers,48.00,34.00,0.585,,,,,,,,,,,,,,,,,,
2018-19,Sacramento Kings,39.00,43.00,0.476,,,,,,,,,,,,,,,,,,
2018-19,Los Angeles Lakers,37.00,45.00,0.451,,,,,,,,,,,,,,,,,,
2018-19,Minnesota Timberwolves,36.00,46.00,0.439,,,,,,,,,,,,,,,,,,
2018-19,Memphis Grizzlies,33.00,49.00,0.402,,,,,,,,,,,,,,,,,,
2018-19,New Orleans Pelicans,33.00,49.00,0.402,,,,,,,,,,,,,,,,,,
2018-19,Dallas Mavericks,33.00,49.00,0.402,,,,,,,,,,,,,,,,,,
2018-19,Phoenix Suns,19.00,63.00,0.232,,,,,,,,,,,,,,,,,,
2014-15,Golden State Warriors,67.00,15.00,0.817073171,,,,,,,,,,,,,,,,,,
2014-15,Atlanta Hawks,60.00,22.00,0.731707317,,,,,,,,,,,,,,,,,,
2014-15,Houston Rockets,56.00,26.00,0.682926829,,,,,,,,,,,,,,,,,,
2014-15,Los Angeles Clippers,56.00,26.00,0.682926829,,,,,,,,,,,,,,,,,,
2014-15,Memphis Grizzlies,55.00,27.00,0.670731707,,,,,,,,,,,,,,,,,,
2014-15,San Antonio Spurs,55.00,27.00,0.670731707,,,,,,,,,,,,,,,,,,
2014-15,Cleveland Cavaliers,53.00,29.00,0.646341463,,,,,,,,,,,,,,,,,,
2014-15,Portland Trail Blazers,51.00,31.00,0.62195122,,,,,,,,,,,,,,,,,,
2014-15,Chicago Bulls,50.00,32.00,0.609756098,,,,,,,,,,,,,,,,,,
2014-15,Dallas Mavericks,50.00,32.00,0.609756098,,,,,,,,,,,,,,,,,,
2014-15,Toronto Raptors,49.00,33.00,0.597560976,,,,,,,,,,,,,,,,,,
2014-15,Washington Wizards,46.00,36.00,0.56097561,,,,,,,,,,,,,,,,,,
2014-15,New Orleans Pelicans,45.00,37.00,0.548780488,,,,,,,,,,,,,,,,,,
2014-15,Oklahoma City Thunder,45.00,37.00,0.548780488,,,,,,,,,,,,,,,,,,
2014-15,Milwaukee Bucks,41.00,41.00,0.5,,,,,,,,,,,,,,,,,,
2014-15,Boston Celtics,40.00,42.00,0.487804878,,,,,,,,,,,,,,,,,,
2014-15,Phoenix Suns,39.00,43.00,0.475609756,,,,,,,,,,,,,,,,,,
2014-15,Brooklyn Nets,38.00,44.00,0.463414634,,,,,,,,,,,,,,,,,,
2014-15,Indiana Pacers,38.00,44.00,0.463414634,,,,,,,,,,,,,,,,,,
2014-15,Utah Jazz,38.00,44.00,0.463414634,,,,,,,,,,,,,,,,,,
2014-15,Miami Heat,37.00,45.00,0.451219512,,,,,,,,,,,,,,,,,,
2014-15,Charlotte Hornets,33.00,49.00,0.402439024,,,,,,,,,,,,,,,,,,
2014-15,Detroit Pistons,32.00,50.00,0.390243902,,,,,,,,,,,,,,,,,,
2014-15,Denver Nuggets,30.00,52.00,0.365853659,,,,,,,,,,,,,,,,,,
2014-15,Sacramento Kings,29.00,53.00,0.353658537,,,,,,,,,,,,,,,,,,
2014-15,Orlando Magic,25.00,57.00,0.304878049,,,,,,,,,,,,,,,,,,
2014-15,Los Angeles Lakers,21.00,61.00,0.256097561,,,,,,,,,,,,,,,,,,
2014-15,Philadelphia 76ers,18.00,64.00,0.219512195,,,,,,,,,,,,,,,,,,
2014-15,New York Knicks,17.00,65.00,0.207317073,,,,,,,,,,,,,,,,,,
2014-15,Minnesota Timberwolves,16.00,66.00,0.195121951,,,,,,,,,,,,,,,,,,
2009-10,Cleveland Cavaliers,61.00,21.00,0.743902439,,,,,,,,,,,,,,,,,,
2009-10,Orlando Magic,59.00,23.00,0.719512195,,,,,,,,,,,,,,,,,,
2009-10,Los Angeles Lakers,57.00,25.00,0.695121951,,,,,,,,,,,,,,,,,,
2009-10,Dallas Mavericks,55.00,27.00,0.670731707,,,,,,,,,,,,,,,,,,
2009-10,Phoenix Suns,54.00,28.00,0.658536585,,,,,,,,,,,,,,,,,,
2009-10,Atlanta Hawks,53.00,29.00,0.646341463,,,,,,,,,,,,,,,,,,
2009-10,Denver Nuggets,53.00,29.00,0.646341463,,,,,,,,,,,,,,,,,,
2009-10,Utah Jazz,53.00,29.00,0.646341463,,,,,,,,,,,,,,,,,,
2009-10,Boston Celtics,50.00,32.00,0.609756098,,,,,,,,,,,,,,,,,,
2009-10,Oklahoma City Thunder,50.00,32.00,0.609756098,,,,,,,,,,,,,,,,,,
2009-10,Portland Trail Blazers,50.00,32.00,0.609756098,,,,,,,,,,,,,,,,,,
2009-10,San Antonio Spurs,50.00,32.00,0.609756098,,,,,,,,,,,,,,,,,,
2009-10,Miami Heat,47.00,35.00,0.573170732,,,,,,,,,,,,,,,,,,
2009-10,Milwaukee Bucks,46.00,36.00,0.56097561,,,,,,,,,,,,,,,,,,
2009-10,Charlotte Bobcats,44.00,38.00,0.536585366,,,,,,,,,,,,,,,,,,
2009-10,Houston Rockets,42.00,40.00,0.512195122,,,,,,,,,,,,,,,,,,
2009-10,Chicago Bulls,41.00,41.00,0.5,,,,,,,,,,,,,,,,,,
2009-10,Memphis Grizzlies,40.00,42.00,0.487804878,,,,,,,,,,,,,,,,,,
2009-10,Toronto Raptors,40.00,42.00,0.487804878,,,,,,,,,,,,,,,,,,
2009-10,New Orleans Hornets,37.00,45.00,0.451219512,,,,,,,,,,,,,,,,,,
